filename,cipher_family,code,target_size,implementation,sample_id,fingerprint,file_size,entropy,chi2,byte_mean,byte_variance,byte_skewness,byte_kurtosis,serial_corr,bigram_entropy,trigram_entropy,runs,runs_z,block_entropy_std_16,block_entropy_std_8,block_mean_std_16,block_mean_std_8,top8_ratio,top16_ratio,low_byte_ratio,high_byte_ratio,even_byte_ratio,zero_byte_ratio,peak_count,max_run_length,diff_entropy
mlkem768_s029_liboqs.bin,ML-KEM-768,mlkem768,1088,liboqs,373,dbd498cd21026120,1088,7.834660008069751,231.05882352941177,129.0735294117647,5354.457828719724,-0.04403511648630521,-1.154551919177708,0.021952591567361752,10.060377255386095,10.084808387804364,526,-1.1136789259469064,0.08129906024814698,0.07951297335986092,18.123209030355483,24.27859172645158,0.06985294117647059,0.12591911764705882,0.0625,0.05974264705882353,0.4963235294117647,0.0009191176470588235,0,2,7.825708217631019
3des_s017_liboqs.bin,3DES,3des,2056,liboqs,374,bb829b9cf1077aaf,2056,7.900363258009424,278.63035019455253,127.42461089494164,5419.110075237702,-0.00018928720149825504,-1.1871539654799064,0.030145274657824638,10.983511486354933,11.004220466318195,987,-1.8529503252902466,0.11716758843185615,0.08027502348551656,18.80762063512262,26.098063531267222,0.05933852140077821,0.11235408560311284,0.06663424124513619,0.05398832684824903,0.4985408560311284,0.0038910505836575876,0,2,7.911545253837472
aes256_s024_openssl.bin,AES-256,aes256,2080,openssl,375,bfe3e372e9d6bdae,2080,7.912775834806632,249.84615384615384,130.62451923076924,5659.286418038092,-0.0558462349602384,-1.227709965633089,0.005871794707575808,10.988966010150339,11.020979938904212,1033,-0.29353984298677077,0.08230842639864439,0.075,18.782064724031464,26.78493292842824,0.05913461538461538,0.10961538461538461,0.06826923076923076,0.06442307692307692,0.4985576923076923,0.004807692307692308,0,2,7.9081619468331334
rsa2048_s080_openssl.bin,RSA-2048,rsa2048,256,openssl,376,846d2501ce559d94,256,7.210241931622167,240.0,122.73046875,5405.517196655273,0.04953418867808324,-1.1978219842066518,-0.08412455146310517,7.994353436858858,7.9886846867721655,138,1.1366455745724187,0.09375,0.125,15.528227176126656,20.08646128923717,0.11328125,0.20703125,0.07421875,0.046875,0.48046875,0.0,4,2,7.168594907328314
chacha20_s011_liboqs.bin,ChaCha20,chacha20,272,liboqs,377,9971516aabccca01,272,7.267856396372071,245.64705882352942,122.9154411764706,5259.18770274654,0.012697311472410346,-1.1392649604492902,-0.06867669328368879,8.08214904135387,8.07681559705083,151,1.7048338070892735,0.07128940966788719,0.08054743492723031,19.97366074865652,30.36954866037319,0.1213235294117647,0.20955882352941177,0.07720588235294118,0.04044117647058824,0.5183823529411765,0.003676470588235294,6,2,7.28806189923808
3des_s073_openssl.bin,3DES,3des,264,openssl,378,f9e96f555f44ffc1,264,7.140921536281322,290.6666666666667,128.53787878787878,5664.278868227731,-0.04434707212250426,-1.2576086215864177,0.06939931087271978,8.038918989292302,8.03342300153745,117,-1.873227980648076,0.23847430317408164,0.1262795145603154,25.543188458835726,30.425805261381157,0.13636363636363635,0.22727272727272727,0.04924242424242424,0.06818181818181818,0.4772727272727273,0.003787878787878788,8,2,7.148508093837072
3des_s015_openssl.bin,3DES,3des,1032,openssl,379,c8051e21b481221a,1032,7.82087120370019,243.03875968992247,131.6734496124031,5570.888519883119,-0.07391269395061849,-1.2374263371701393,-0.0009747598694734477,9.980730654225528,10.006486874497764,511,-0.25108225922807537,0.1438327842408858,0.07261625579533021,18.39297001992463,25.834485049083852,0.07073643410852713,0.12693798449612403,0.05232558139534884,0.06492248062015504,0.5242248062015504,0.003875968992248062,0,2,7.809809091043199
mlkem768_s045_openssl.bin,ML-KEM-768,mlkem768,1088,openssl,380,c0b1ddcd2537042b,1088,7.8202060896782495,266.3529411764706,125.37408088235294,5454.3536296699285,0.048655161623276155,-1.2283698500712161,-0.024755968043416364,10.065897034594926,10.084808387804364,551,0.37310547790287485,0.0790868557510991,0.058823529411764705,17.562351150219182,23.55375820988308,0.07169117647058823,0.1323529411764706,0.05606617647058824,0.05330882352941176,0.5082720588235294,0.0027573529411764708,0,2,7.809455024499585
chacha20_s047_liboqs.bin,ChaCha20,chacha20,528,liboqs,381,006bd52a1ad1460c,528,7.58284835920574,269.09090909090907,131.96401515151516,5221.318780848255,-0.06846357341195289,-1.1332199106044492,0.0523260191093743,9.037864085223552,9.038918989292302,257,-0.6812818066708549,0.065169130810929,0.07697879330644536,19.880669278520067,27.48332625677129,0.0928030303030303,0.16477272727272727,0.058712121212121215,0.06060606060606061,0.48295454545454547,0.0,2,2,7.625704594157518
mlkem768_s043_openssl.bin,ML-KEM-768,mlkem768,1088,openssl,382,33a4bac613f9ccb8,1088,7.814599405560956,284.2352941176471,129.6222426470588,5396.893144970534,-0.03428165158964408,-1.1845028132810553,0.002740162749479489,10.069576887400814,10.084808387804364,551,0.39658513253139777,0.06074526338918495,0.08054743492723031,18.018536952892152,26.901433934418574,0.078125,0.13970588235294118,0.06158088235294118,0.05606617647058824,0.4788602941176471,0.008272058823529412,1,2,7.817563070497892
aes128_s086_liboqs.bin,AES-128,aes128,1056,liboqs,383,5ae3ef7c65f4a3c3,1056,7.816352500333385,254.54545454545453,130.81344696969697,5545.227508572945,-0.022900614770265348,-1.2226455912760623,0.004363950702586027,10.03165287601161,10.041659151637214,524,-0.28834098961620824,0.09907469353365053,0.09508188969339218,18.296163117003687,26.66394175329194,0.07386363636363637,0.13352272727272727,0.05776515151515151,0.07196969696969698,0.4706439393939394,0.004734848484848485,1,2,7.789502601333518
aes256_s007_liboqs.bin,AES-256,aes256,544,liboqs,384,0a4dc453fe779542,544,7.587334547698667,277.6470588235294,126.12316176470588,5451.299169415009,0.03530646305573704,-1.1946094008877388,-0.010250946775649371,9.073758664047455,9.082149041353869,268,-0.4093016151732981,0.07579238282385406,0.07597050852857289,19.44744216423294,25.05083519660296,0.09191176470588236,0.16544117647058823,0.0661764705882353,0.05698529411764706,0.5018382352941176,0.007352941176470588,2,2,7.607580536499794
