filename,cipher_family,implementation,plaintext_length,padding_mode,file_size,entropy,chi2,byte_mean,byte_variance,byte_skewness,byte_kurtosis,serial_corr,bigram_entropy,trigram_entropy,runs,runs_z,block_entropy_std_16,block_entropy_std_8,block_mean_std_16,block_mean_std_8,top8_ratio,top16_ratio,low_byte_ratio,high_byte_ratio,even_byte_ratio,zero_byte_ratio,peak_count,max_run_length,diff_entropy
aes_128_s000_openssl.bin,AES-128,openssl,256,PKCS7,288,7.272990866052926,252.44444444444446,131.69097222222223,5628.96352961034,-0.05431539848007421,-1.1269607326824693,-0.016504730481287606,8.164906926675688,8.159871336778389,145,0.09978496744494166,0.09062275750285513,0.08645763609714398,19.779310531372186,30.001612892278263,0.11458333333333333,0.19791666666666666,0.07291666666666667,0.08680555555555555,0.5381944444444444,0.003472222222222222,7,2,7.245211794217351
aes_128_s001_openssl.bin,AES-128,openssl,1024,ISO10126,1056,7.7886497248169295,281.6969696969697,125.48863636363636,5560.912749655647,0.012477725550488055,-1.2028816490838197,-0.012929146642232584,10.027861406817296,10.041659151637214,535,0.37133684818965695,0.07096588634543635,0.06615245907792795,16.274809547027303,23.99775308366886,0.07291666666666667,0.13257575757575757,0.07196969696969698,0.05587121212121212,0.4962121212121212,0.002840909090909091,0,2,7.800199867209187
aes_128_s002_openssl.bin,AES-128,openssl,512,ISO10126,544,7.603806931585801,250.35294117647058,126.25,5280.220588235294,0.06090857090766823,-1.1795564051312117,-0.030939549651167648,9.070075422795155,9.082149041353869,274,0.13947472741114106,0.08707881825240449,0.10155314203627304,16.814379131809634,23.86278367778875,0.08639705882352941,0.15257352941176472,0.058823529411764705,0.04963235294117647,0.5183823529411765,0.0,2,2,7.611780674506228
aes_128_s003_openssl.bin,AES-128,openssl,256,Random,272,7.231458842953358,249.41176470588235,131.20220588235293,5579.96278925173,-0.10783869194733615,-1.1608376459538796,-0.02402907213890381,8.08214904135387,8.07681559705083,134,-0.23769517346630667,0.075703162801375,0.07090919677200702,22.174457946195943,27.86578281246967,0.11397058823529412,0.20220588235294118,0.06985294117647059,0.0661764705882353,0.5183823529411765,0.007352941176470588,7,1,7.15011327198622
aes_128_s004_openssl.bin,AES-128,openssl,256,Random,272,7.178648078333503,272.0,123.09926470588235,5739.604117106402,-0.022004633787968634,-1.3824401043309769,-0.020766240686430234,8.08214904135387,8.07681559705083,143,0.7326853887909877,0.07498558108224684,0.04223943122454433,18.942614321338795,28.268714184858585,0.1213235294117647,0.20955882352941177,0.08455882352941177,0.022058823529411766,0.5404411764705882,0.0,6,1,7.233615819894304
aes_128_s005_openssl.bin,AES-128,openssl,2048,PKCS7,2080,7.8997099411777905,282.83076923076925,127.08028846153846,5582.233457609098,-0.018834910833951553,-1.1908375384281482,0.0012448139758487417,10.988966010150339,11.020017474996608,1036,-0.2166307922655128,0.08218201493617167,0.07813942174580786,18.862472336816683,26.133387656359425,0.058173076923076925,0.10913461538461539,0.07548076923076923,0.06057692307692308,0.5014423076923077,0.004807692307692308,0,2,7.908708538802428
aes_128_s006_openssl.bin,AES-128,openssl,256,PKCS7,288,7.2525042878241415,252.44444444444446,131.57638888888889,5203.0358314043215,-0.004328776029028179,-1.2163813996387818,0.08672575683020411,8.157938285560705,8.159871336778389,135,-1.1775184168780186,0.05892556509887896,0.06909634979907084,22.332289266985615,30.974063379505996,0.1076388888888889,0.1909722222222222,0.041666666666666664,0.0625,0.4791666666666667,0.0,6,2,7.235612883059987
aes_128_s007_openssl.bin,AES-128,openssl,512,ISO10126,544,7.617137855434999,251.2941176470588,130.59375,5210.972828584559,-0.09928952859499404,-1.1180092979216065,0.0018781841974239194,9.084808387804362,9.082149041353869,268,-0.3981263766254893,0.07579238282385406,0.07597050852857289,15.66423199721263,25.053319748544187,0.08639705882352941,0.15808823529411764,0.0661764705882353,0.051470588235294115,0.5055147058823529,0.009191176470588236,2,2,7.616998450962863
aes_128_s008_openssl.bin,AES-128,openssl,4096,Random,4112,7.952918530340567,265.2762645914397,127.45549610894942,5489.457649753876,0.023990696854949426,-1.207816414182991,-0.018046403360463713,11.944277575926098,12.003949442559312,2077,0.628822570922294,0.08328503131150798,0.07538753607002943,18.572025263684264,26.418587228774776,0.04961089494163424,0.09557392996108949,0.05982490272373541,0.0610408560311284,0.5094844357976653,0.0038910505836575876,0,2,7.961005707522518
aes_128_s009_openssl.bin,AES-128,openssl,256,Random,272,7.299070458856163,228.7058823529412,126.91911764705883,5342.530222750865,-0.005334898581980798,-1.1689127648834385,-0.04699371927093295,8.074768967553133,8.07681559705083,149,1.4734786533346043,0.047652505135351915,0.058823529411764705,18.15222049172709,27.010735923032648,0.11029411764705882,0.19852941176470587,0.06985294117647059,0.05514705882352941,0.47794117647058826,0.0,5,1,7.186026901251353
aes_128_s010_liboqs.bin,AES-128,liboqs,512,Random,528,7.641627833523273,224.48484848484847,126.71212121212122,5383.822428833792,0.016115678067235014,-1.2177999459154376,-0.020145846841904978,9.041659151637214,9.038918989292302,271,0.5443503339472705,0.09247390617980078,0.09247390617980078,19.1795860159411,28.113852754693376,0.08333333333333333,0.15151515151515152,0.056818181818181816,0.05303030303030303,0.4962121212121212,0.003787878787878788,0,2,7.638214716412625
aes_128_s011_liboqs.bin,AES-128,liboqs,2048,ISO10126,2080,7.917189590239145,237.7846153846154,128.53365384615384,5455.753675110947,-0.0054740217082242335,-1.2105783448508083,0.03973598254485818,10.979944900240687,11.020979938904212,1006,-1.5342018677406049,0.09607365877469279,0.08980995714488936,19.41655771686849,27.548212930930198,0.057692307692307696,0.10817307692307693,0.05961538461538462,0.05576923076923077,0.5076923076923077,0.0033653846153846156,0,2,7.912588032187793
aes_128_s012_liboqs.bin,AES-128,liboqs,2048,Random,2064,7.927110225496973,206.75968992248062,125.70251937984496,5473.220613807764,0.03326512409911844,-1.1919849881409625,0.00841698166020834,10.995016714708589,11.009828617368107,1024,-0.37937438355479236,0.0762996328612183,0.08456365980337763,17.719318483753664,24.926768682428513,0.0562015503875969,0.1065891472868217,0.06734496124031007,0.05910852713178295,0.499031007751938,0.005329457364341085,0,2,7.901320827839349
aes_128_s013_liboqs.bin,AES-128,liboqs,1024,PKCS7,1056,7.800082528989775,272.969696969697,126.43655303030303,5282.126656300218,-0.004365443904315179,-1.168452798801987,-0.02522160696937455,10.016486999234358,10.041659151637214,530,0.06449620390603071,0.08393378714454673,0.08775706695608405,18.43428160284791,26.12487991224086,0.07481060606060606,0.13636363636363635,0.06060606060606061,0.04640151515151515,0.5236742424242424,0.002840909090909091,0,2,7.812347485088146
aes_128_s014_liboqs.bin,AES-128,liboqs,512,Zero,528,7.596808225715038,258.42424242424244,123.36931818181819,5549.509437413912,0.09272079113529123,-1.2223265678040074,0.03980592866795679,9.03406901880989,9.038918989292302,262,-0.23490763404393136,0.07613542137212796,0.0857935731280767,17.73988297116355,27.876498395471046,0.09090909090909091,0.16666666666666666,0.06818181818181818,0.06060606060606061,0.4943181818181818,0.0,1,2,7.539745913045283
aes_128_s015_liboqs.bin,AES-128,liboqs,1024,ANSI_X923,1056,7.831412489921094,237.0909090909091,127.56628787878788,5322.1395453110645,0.026630098455480238,-1.1677772140163412,-0.03406361752780009,10.029757141414452,10.041659151637214,529,0.014117055575446218,0.08205370841831239,0.06301441196823532,17.899504681664908,24.322089229293848,0.06912878787878787,0.12973484848484848,0.050189393939393936,0.06060606060606061,0.5018939393939394,0.002840909090909091,0,2,7.7922203819452545
aes_128_s016_liboqs.bin,AES-128,liboqs,512,ISO10126,544,7.642979806703645,248.47058823529412,129.24080882352942,5463.730614051687,-0.008373368384332086,-1.188174670292114,0.01081814907473068,9.08112514655206,9.082149041353869,285,1.0418078338830163,0.09226891950226943,0.10155314203627304,16.471225553091198,24.495941629810815,0.09191176470588236,0.1636029411764706,0.05698529411764706,0.07904411764705882,0.4724264705882353,0.0055147058823529415,3,2,7.642013070591912
aes_128_s017_liboqs.bin,AES-128,liboqs,1024,PKCS7,1056,7.80426733734571,271.5151515151515,127.22632575757575,5473.9667690757005,0.01801142046296555,-1.2211816141723912,0.010411870148516815,10.025965672220138,10.041659151637214,534,0.3221255408579601,0.08205370841831239,0.09114552587512095,17.987424469800025,26.23558917464694,0.07291666666666667,0.13352272727272727,0.05776515151515151,0.05397727272727273,0.4952651515151515,0.004734848484848485,0,2,7.824101275078671
aes_128_s018_liboqs.bin,AES-128,liboqs,256,Zero,272,7.200101030405634,253.1764705882353,126.58088235294117,5057.096399221453,0.05829451717448344,-1.070862932894797,-0.017774803523625194,8.08214904135387,8.07681559705083,145,0.995621229566151,0.08511644781463401,0.04223943122454433,17.163783968105818,23.58910053239283,0.10294117647058823,0.19117647058823528,0.051470588235294115,0.0625,0.49264705882352944,0.003676470588235294,4,1,7.243412949163875
aes_128_s019_liboqs.bin,AES-128,liboqs,256,ANSI_X923,288,7.33937772535419,218.66666666666666,132.04166666666666,5762.185763888889,-0.0991878633748336,-1.210251367173831,0.1340296635843302,8.164906926675688,8.159871336778389,130,-1.744379537562068,0.07511565157216644,0.08645763609714398,22.598002231637892,29.80816850667317,0.10069444444444445,0.1840277777777778,0.06944444444444445,0.06944444444444445,0.4791666666666667,0.003472222222222222,4,1,7.226880348472263
aes_256_s020_openssl.bin,AES-256,openssl,1024,Random,1040,7.812626351707507,250.33846153846153,130.78269230769232,5475.023931213018,-0.08122939745909181,-1.2151469821223642,-0.05242234050352234,10.011355299828177,10.019590728357882,538,1.1516935547251501,0.08987170342729171,0.06957712505817516,16.42178104687428,24.745019671051185,0.06826923076923076,0.12788461538461537,0.05961538461538462,0.057692307692307696,0.47884615384615387,0.0028846153846153848,0,2,7.817429205019458
aes_256_s021_openssl.bin,AES-256,openssl,1024,PKCS7,1056,7.82294256031335,259.3939393939394,128.50852272727272,5599.299169787362,-0.007295728643301179,-1.2179574146280334,0.046842124942660324,10.024069937622983,10.041659151637214,508,-1.290273967111045,0.07288591441247673,0.08627304525704829,17.950488534634903,26.172559803034606,0.06912878787878787,0.12973484848484848,0.0634469696969697,0.0625,0.4725378787878788,0.002840909090909091,1,2,7.810070512725019
aes_256_s022_openssl.bin,AES-256,openssl,2048,Random,2064,7.920120307011989,226.35658914728683,127.31928294573643,5547.445054524593,0.027320554441382122,-1.1920368802713595,0.020519309939668887,10.983017253970749,11.009828617368107,993,-1.7480364099730934,0.08438343897622669,0.08349655009502949,17.858018035557972,27.207092468517917,0.05862403100775194,0.10852713178294573,0.06346899224806202,0.06298449612403101,0.5159883720930233,0.00436046511627907,0,2,7.9009698794151
aes_256_s023_openssl.bin,AES-256,openssl,256,Zero,272,7.193353960686445,264.4705882352941,127.07720588235294,5418.644774545848,-0.019175231401197132,-1.1526684558427092,-0.061301564458537655,8.074768967553133,8.07681559705083,141,0.5006966297738952,0.09320019957956556,0.08054743492723031,18.554687767483152,23.9495681586751,0.11764705882352941,0.20588235294117646,0.0625,0.05514705882352941,0.5036764705882353,0.014705882352941176,7,1,7.289407020922953
aes_256_s024_openssl.bin,AES-256,openssl,256,Random,272,7.294859991842462,223.05882352941177,128.72058823529412,5155.318987889274,-0.0069783746467633,-1.1968061431504846,-0.026829254480047672,8.08214904135387,8.07681559705083,139,0.24298434998063556,0.1025890466657552,0.08054743492723031,15.72249169954351,21.8010527189395,0.10294117647058823,0.19117647058823528,0.04779411764705882,0.05514705882352941,0.4852941176470588,0.003676470588235294,4,2,7.206272980284647
aes_256_s025_openssl.bin,AES-256,openssl,1024,Random,1040,7.786605725268922,285.7846153846154,126.19711538461539,5106.052491678995,0.012402999608631053,-1.1245870052965004,-0.07224917602105906,10.00943037201297,10.019590728357882,514,-0.43421292091963587,0.0760527689741738,0.06957712505817516,16.32810825181044,23.56515040890634,0.075,0.13557692307692307,0.05,0.05096153846153846,0.5240384615384616,0.0028846153846153848,0,2,7.814939453020687
aes_256_s026_openssl.bin,AES-256,openssl,1024,Random,1040,7.821221165179988,232.12307692307692,127.18846153846154,5470.887559171598,-2.9832618649601137e-05,-1.210265103604448,-0.05129404986938407,10.00365558856735,10.019590728357882,551,1.867602526307008,0.07792890970926158,0.07749785261388417,17.906489518158086,24.860090459069855,0.06538461538461539,0.12115384615384615,0.06153846153846154,0.05673076923076923,0.5346153846153846,0.0019230769230769232,0,2,7.827565103487927
aes_256_s027_openssl.bin,AES-256,openssl,512,PKCS7,544,7.646805071404517,226.8235294117647,128.19301470588235,5609.574877676255,-0.01280560095027035,-1.1919639173895185,-0.0348525239746812,9.077441905299757,9.082149041353869,281,0.6983269480452218,0.09958844488721738,0.07597050852857289,16.75851248553179,23.9962316456347,0.07904411764705882,0.14522058823529413,0.06433823529411764,0.06433823529411764,0.5128676470588235,0.007352941176470588,1,2,7.530376484998166
aes_256_s028_openssl.bin,AES-256,openssl,256,ISO10126,288,7.232153473544342,261.3333333333333,127.9375,5350.940538194444,-0.006158503228137643,-1.2187790871879505,0.013835752362784743,8.150969644445722,8.159871336778389,144,-0.09767915666951131,0.09547032697824667,0.11947673982003648,16.112371239033827,24.762070920058363,0.1111111111111111,0.2013888888888889,0.04513888888888889,0.0625,0.5138888888888888,0.0,10,2,7.297544721076772
aes_256_s029_openssl.bin,AES-256,openssl,1024,PKCS7,1056,7.808044716545567,256.969696969697,125.67708333333333,5304.705383917299,0.0256472175883483,-1.209896194367716,0.011304444491011251,10.029757141414452,10.041659151637214,539,0.6168188528621832,0.06722817935340472,0.0701269264453546,19.489466923028274,26.951964502538324,0.06723484848484848,0.1268939393939394,0.056818181818181816,0.04734848484848485,0.5464015151515151,0.003787878787878788,0,2,7.794525163224833
aes_256_s030_liboqs.bin,AES-256,liboqs,512,PKCS7,544,7.6276563646724345,244.70588235294116,124.93198529411765,5826.956771058607,0.013242612143045387,-1.2725914344278157,0.05088403125676627,9.08112514655206,9.082149041353869,272,-0.0779661187530566,0.09154337939697597,0.10724964813099133,19.90570237523043,27.050881674493176,0.08272058823529412,0.15625,0.08272058823529412,0.05698529411764706,0.47610294117647056,0.009191176470588236,1,2,7.601295723430042
aes_256_s031_liboqs.bin,AES-256,liboqs,2048,ANSI_X923,2080,7.916895351420297,233.35384615384615,128.7153846153846,5642.902647928994,0.015454941794886616,-1.253709934307083,0.03670118351187755,10.9924509127467,11.020017474996608,1017,-1.0500857095487186,0.10353843565767512,0.1061975737141561,18.813212453827237,27.868751521920256,0.05625,0.10721153846153846,0.06201923076923077,0.07115384615384615,0.4951923076923077,0.002403846153846154,0,3,7.905129687303362
aes_256_s032_liboqs.bin,AES-256,liboqs,2048,ANSI_X923,2080,7.904717090643656,274.7076923076923,128.0826923076923,5522.622969674557,-0.005570839686794912,-1.2195974687192845,-0.02637762268775934,10.987042008226336,11.020979938904212,1037,-0.17036953038703737,0.07346735688383446,0.07749785261388417,16.39330710233537,25.381547818731548,0.058173076923076925,0.10913461538461539,0.06153846153846154,0.06009615384615385,0.49903846153846154,0.0033653846153846156,0,2,7.917560467576596
aes_256_s033_liboqs.bin,AES-256,liboqs,512,ANSI_X923,544,7.5425595147933855,293.6470588235294,126.17279411764706,5295.319406898789,0.04409360244293373,-1.161700848478952,0.026252289835218705,9.073758664047455,9.082149041353869,270,-0.24218405089825276,0.08154806254712807,0.08471851927796259,15.232587537094922,22.87411631823108,0.08272058823529412,0.15625,0.04779411764705882,0.058823529411764705,0.4742647058823529,0.003676470588235294,0,2,7.647021177248293
aes_256_s034_liboqs.bin,AES-256,liboqs,1024,ISO10126,1056,7.777333864113636,313.6969696969697,122.98295454545455,5371.817891270662,0.08150597326937854,-1.1801228893014368,-0.04345160633319313,10.027861406817296,10.041659151637214,562,2.1438577198074493,0.08930650725915508,0.07449227439127704,19.285836334645218,25.363273398415718,0.07954545454545454,0.14015151515151514,0.06912878787878787,0.045454545454545456,0.5151515151515151,0.003787878787878788,1,2,7.844441908315089
aes_256_s035_liboqs.bin,AES-256,liboqs,1024,PKCS7,1056,7.828846742674277,237.57575757575756,127.54829545454545,5636.200319064222,-0.04377924457602355,-1.231397426991976,0.017877624355135468,10.03544434520592,10.041659151637214,527,-0.11152799332442608,0.08495326322729471,0.07818093727481172,17.43105261038152,24.48690632511236,0.06912878787878787,0.1278409090909091,0.07196969696969698,0.05587121212121212,0.5160984848484849,0.002840909090909091,0,2,7.83195195494731
aes_256_s036_liboqs.bin,AES-256,liboqs,4096,ISO10126,4128,7.953036679378858,256.74418604651163,128.1470445736434,5502.164666653052,-0.0067438252948633,-1.176354715809885,-0.011022848780037524,11.95575056647582,12.010528105886484,2111,1.4321063875939737,0.08771086618903207,0.08376379389200479,18.410073093002097,25.555449521161496,0.048207364341085274,0.09302325581395349,0.06807170542635659,0.06346899224806202,0.4997577519379845,0.00436046511627907,0,2,7.955942991655431
aes_256_s037_liboqs.bin,AES-256,liboqs,4096,ISO10126,4128,7.946743474714494,296.6821705426357,126.93435077519379,5548.1669595591275,0.0034320227892095413,-1.2192272597934262,-0.006760595491682266,11.95575056647582,12.009558643937867,2069,0.13057532590902152,0.08035678395411155,0.07989780322260487,18.113998743370416,26.00978979591592,0.050387596899224806,0.09593023255813954,0.06443798449612403,0.05765503875968992,0.4900678294573643,0.006056201550387597,0,2,7.956463828312864
aes_256_s038_liboqs.bin,AES-256,liboqs,512,Zero,528,7.6337967741029145,236.12121212121212,124.93939393939394,5742.466023875115,0.01655425758959478,-1.2430617026573991,0.025519293415231407,9.037864085223552,9.038918989292302,259,-0.4904335867454267,0.07325408941596105,0.06615245907792795,20.598999249653755,27.492080836553633,0.08522727272727272,0.1590909090909091,0.08712121212121213,0.04924242424242424,0.5151515151515151,0.015151515151515152,1,1,7.589968185169322
